CONTRATO;Fecha_FI
CTO_TO_051784;1q/2016
CTO_TO_026934;1q/2016
CTO_TO_026933;3q/2016
CTO_TO_033413;3q/2016
CTO_TO_033115;1q/2017
CTO_TO_033965;1q/2017
CTO_TO_035359;1q/2017
CTO_TO_033989;2q/2017
CTO_TO_035359;2q/2017
CTO_TO_033755;3q/2017
CTO_TO_051781;2q/2018
CTO_TO_033774;3q/2018
CTO_TO_033773;3q/2019
CTO_TO_034035;3q/2019
CTO_TO_035440;3q/2019
CTO_TO_048265;1q/2011
CTO_TO_048222;3q/2011
CTO_TO_021568;3q/2011
CTO_TO_048222;4q/2011
CTO_TO_048086;4q/2011
CTO_TO_048222;1q/2012
CTO_TO_013355;1q/2015
CTO_TO_013360;4q/2015
CTO_TO_032453;4q/2015
CTO_TO_021593;1q/2016
CTO_TO_048243;2q/2016
CTO_TO_048034;3q/2018
CTO_TO_048265;3q/2018
CTO_TO_048194;2q/2019
CTO_TO_048053;2q/2019
CTO_TO_047995;3q/2019
CTO_TO_048219;3q/2019
CTO_TO_028381;3q/2019
CTO_TO_047995;4q/2019
CTO_TO_048219;4q/2019
CTO_TO_012051;1q/2011
CTO_TO_028457;1q/2011
CTO_TO_012576;2q/2011
CTO_TO_026520;3q/2011
CTO_TO_008572;4q/2011
CTO_TO_012183;4q/2014
CTO_TO_012502;4q/2014
CTO_TO_012265;2q/2015
CTO_TO_026620;2q/2015
CTO_TO_050403;1q/2016
CTO_TO_012081;1q/2017
CTO_TO_013183;1q/2017
CTO_TO_012029;1q/2017
CTO_TO_026533;1q/2017
CTO_TO_026608;1q/2017
CTO_TO_012081;2q/2017
CTO_TO_050401;2q/2017
CTO_TO_012155;3q/2017
CTO_TO_012442;3q/2017
CTO_TO_012111;3q/2017
CTO_TO_026585;1q/2018
CTO_TO_026482;1q/2018
CTO_TO_012512;3q/2018
CTO_TO_028473;3q/2018
CTO_TO_012299;2q/2019
CTO_TO_012298;2q/2019
CTO_TO_050420;3q/2019
CTO_TO_059169;3q/2011
CTO_TO_059074;2q/2013
CTO_TO_013240;3q/2013
CTO_TO_059124;4q/2013
CTO_TO_039605;3q/2015
CTO_TO_004983;1q/2016
CTO_TO_013240;3q/2016
CTO_TO_039472;3q/2016
CTO_TO_039425;2q/2017
CTO_TO_059078;3q/2017
CTO_TO_039551;1q/2018
CTO_TO_056381;3q/2018
CTO_TO_059112;2q/2019
CTO_TO_052782;2q/2011
CTO_TO_059133;2q/2011
CTO_TO_015844;3q/2011
CTO_TO_049728;3q/2011
CTO_TO_015794;4q/2011
CTO_TO_049655;1q/2012
CTO_TO_047953;3q/2013
CTO_TO_015896;4q/2013
CTO_TO_045780;2q/2015
CTO_TO_045806;4q/2015
CTO_TO_045780;4q/2015
CTO_TO_049643;4q/2016
CTO_TO_015773;1q/2018
CTO_TO_015844;2q/2018
CTO_TO_015953;2q/2018
CTO_TO_052928;2q/2018
CTO_TO_015844;3q/2018
CTO_TO_047957;3q/2018
CTO_TO_015940;1q/2019
CTO_TO_049728;3q/2019
CTO_TO_015840;3q/2019
CTO_TO_053103;2q/2011
CTO_TO_007343;4q/2011
CTO_TO_034490;1q/2012
CTO_TO_050128;3q/2012
CTO_TO_007279;3q/2013
CTO_TO_034412;4q/2013
CTO_TO_034215;3q/2014
CTO_TO_047620;4q/2014
CTO_TO_034208;4q/2014
CTO_TO_034239;4q/2015
CTO_TO_036335;1q/2016
CTO_TO_034467;2q/2016
CTO_TO_036330;2q/2016
CTO_TO_034516;3q/2016
CTO_TO_034129;3q/2016
CTO_TO_047623;1q/2017
CTO_TO_034160;1q/2017
CTO_TO_050115;2q/2017
CTO_TO_050140;1q/2018
CTO_TO_046110;2q/2018
CTO_TO_053095;2q/2018
CTO_TO_034117;1q/2019
CTO_TO_050381;2q/2019
CTO_TO_034574;2q/2019
CTO_TO_057308;3q/2019
CTO_TO_050115;4q/2019
CTO_TO_014244;1q/2011
CTO_TO_051076;1q/2011
CTO_TO_003928;2q/2011
CTO_TO_051370;2q/2011
CTO_TO_003928;3q/2011
CTO_TO_056810;3q/2011
CTO_TO_047747;4q/2011
CTO_TO_051106;1q/2012
CTO_TO_046454;2q/2012
CTO_TO_047647;3q/2014
CTO_TO_047736;3q/2014
CTO_TO_047675;3q/2014
CTO_TO_051385;4q/2014
CTO_TO_046342;3q/2015
CTO_TO_014296;4q/2015
CTO_TO_056813;1q/2016
CTO_TO_051402;1q/2016
CTO_TO_051400;4q/2016
CTO_TO_003889;1q/2018
CTO_TO_043786;1q/2018
CTO_TO_047732;2q/2018
CTO_TO_027728;2q/2019
CTO_TO_003928;2q/2019
CTO_TO_047720;3q/2019
CTO_TO_056850;3q/2019
CTO_TO_014296;4q/2019
CTO_TO_007199;2q/2011
CTO_TO_019284;2q/2011
CTO_TO_009889;3q/2011
CTO_TO_007203;3q/2014
CTO_TO_046577;1q/2015
CTO_TO_014371;2q/2015
CTO_TO_051207;4q/2015
CTO_TO_051149;1q/2016
CTO_TO_020013;1q/2016
CTO_TO_046575;1q/2016
CTO_TO_019283;1q/2016
CTO_TO_020014;2q/2016
CTO_TO_051190;3q/2016
CTO_TO_009374;1q/2017
CTO_TO_009301;1q/2019
CTO_TO_019283;1q/2019
CTO_TO_009326;2q/2019
CTO_TO_051205;3q/2019
CTO_TO_053777;2q/2011
CTO_TO_053790;3q/2011
CTO_TO_053777;4q/2011
CTO_TO_057374;2q/2012
CTO_TO_030794;1q/2014
CTO_TO_030918;1q/2014
CTO_TO_053695;1q/2015
CTO_TO_030735;1q/2015
CTO_TO_048522;2q/2016
CTO_TO_055334;4q/2016
CTO_TO_007865;4q/2016
CTO_TO_048521;1q/2017
CTO_TO_048538;3q/2017
CTO_TO_030897;3q/2017
CTO_TO_030816;3q/2017
CTO_TO_048436;2q/2018
CTO_TO_048552;3q/2018
CTO_TO_030794;2q/2019
CTO_TO_053751;3q/2019
CTO_TO_055291;3q/2019
CTO_TO_057389;3q/2019
CTO_TO_030970;3q/2019
CTO_TO_025976;1q/2011
CTO_TO_020174;2q/2011
CTO_TO_025693;4q/2011
CTO_TO_025938;2q/2012
CTO_TO_025936;2q/2012
CTO_TO_030271;3q/2012
CTO_TO_025985;1q/2014
CTO_TO_025985;3q/2015
CTO_TO_006607;1q/2016
CTO_TO_025858;2q/2017
CTO_TO_053892;2q/2017
CTO_TO_023187;2q/2018
CTO_TO_030284;2q/2018
CTO_TO_025996;3q/2018
CTO_TO_023276;3q/2018
CTO_TO_023326;1q/2019
CTO_TO_020202;4q/2019
CTO_TO_039283;1q/2011
CTO_TO_054341;3q/2011
CTO_TO_003604;4q/2011
CTO_TO_023324;4q/2011
CTO_TO_009535;1q/2012
CTO_TO_009648;1q/2012
CTO_TO_054004;4q/2013
CTO_TO_054217;1q/2015
CTO_TO_058801;1q/2015
CTO_TO_054029;4q/2015
CTO_TO_003678;3q/2016
CTO_TO_054420;4q/2016
CTO_TO_053963;3q/2017
CTO_TO_046898;1q/2011
CTO_TO_046894;1q/2011
CTO_TO_058950;1q/2011
CTO_TO_046863;4q/2011
CTO_TO_058950;1q/2012
CTO_TO_053710;4q/2013
CTO_TO_046772;4q/2015
CTO_TO_053929;1q/2016
CTO_TO_043954;2q/2016
