number,value,params_batch_size,params_delta_min,params_fclayer1,params_fclayer2,params_first_conv_outchann,params_learning_rate,params_max_loss_reset,params_patience_plateau,params_patience_validation,params_second_conv_outchann,params_split_size,params_weight_decay,state
118,0.06935647130012512,40,0,120,30,12,0.00047381876827915073,5,0. 3,3,20,0.75,0.012196546446259726,COMPLETE
119,0.0020433911122381687,40,0,120,30,12,0.0006776715022294269,5,0. 3,3,20,0.75,0.010842969203524051,COMPLETE
120,0.0020888971397653223,40,0,120,30,12,0.0008149350568122197,7,0. 3,3,20,0.75,0.011553869444541868,COMPLETE
121,0.012425479106605053,40,0,120,30,12,6.567209224133172e-05,5,0. 3,3,20,0.75,0.013317493420006097,COMPLETE
122,0.0019686964340507986,40,0,120,30,12,0.0006068499510905447,5,0. 3,3,20,0.75,0.01188524245683418,COMPLETE
123,0.0017895800294354558,40,0,120,0,12,0.0005511950905078529,5,0. 3,3,20,0.75,0.010323010691413337,COMPLETE
124,0.002038807119242847,40,0,120,30,12,0.00040033072872120763,5,0. 3,3,20,0.75,0.01313156478434079,COMPLETE
125,0.005295581091195345,40,0,120,30,12,8.03610289958289e-05,3,0. 3,3,20,0.75,0.01386982420740989,COMPLETE
126,0.005998728796839714,40,0.1,120,0,12,0.00045206529321337104,5,1,3,20,0.75,0.011246722799714545,COMPLETE
127,0.015038051595911383,40,0,120,30,12,0.0005090265350904134,5,0. 3,3,24,0.7999999999999999,0.012402540830249076,COMPLETE
128,0.03783000826835632,50,0,120,60,12,0.0003918319712124052,3,0. 3,3,20,0.75,0.012748440394944839,COMPLETE
129,0.0692587062716484,40,0,120,30,12,0.0004506728760470767,5,0. 3,3,20,0.75,0.012027725038712654,COMPLETE
130,0.013271071575582027,40,0,150,0,12,0.0003619293321932906,5,0. 3,2,20,0.75,0.043563925247323276,COMPLETE
131,0.001912141335196793,40,0,120,60,12,0.00042591192779534333,5,0. 3,3,20,0.75,0.015082973357604706,COMPLETE
132,0.004715940169990063,40,0,120,60,12,0.0004984004265628362,5,0. 3,3,20,0.75,0.013716776841640604,COMPLETE
133,0.06929418593645095,40,0,120,30,12,0.0005655251924213562,5,0. 3,1,20,0.75,0.011721948070166122,COMPLETE
134,0.0015304432483389974,40,0,120,30,12,0.00023041929132523611,5,0. 3,1,20,0.75,0.010861076404959324,COMPLETE
135,0.0011716882814653217,40,0,120,30,12,0.00022804506008411402,5,0. 3,1,20,0.75,0.010694644757252205,COMPLETE
136,0.0017161312280222774,40,0,120,30,12,0.00019182154635998252,5,0. 3,1,20,0.75,0.010017449729221788,COMPLETE
137,0.0009370255866087973,40,0,120,30,12,0.00023045312926248094,5,0. 3,1,20,0.75,0.010992043885755863,COMPLETE
138,0.002341820113360882,40,0.1,180,30,12,0.0002287495301152775,5,0. 3,1,20,0.75,0.010790803683329317,COMPLETE
139,0.01915835713346799,30,0,120,30,12,0.00020270961451947223,5,0. 3,1,20,0.75,0.011001400360833961,COMPLETE
140,0.0019190683029592036,40,0,120,30,12,0.00024587692067327835,5,0. 3,1,20,0.75,0.012512969843417723,COMPLETE
141,0.0036650918889790775,40,0,120,30,12,0.0001637699842854716,5,0. 3,1,20,0.75,0.011444251886025108,COMPLETE
142,0.0013422077056020499,40,0,120,30,12,0.00021650052678204122,5,0. 3,1,20,0.75,0.0103013850406031,COMPLETE
143,0.0019033245043829083,40,0,120,30,12,0.0002950783452929209,5,0. 3,1,20,0.75,0.01043103381500127,COMPLETE
144,0.0011984341312199832,40,0,120,30,12,0.00021398422851666082,5,0. 3,1,20,0.75,0.010104890004919546,COMPLETE
145,0.0011510740965604781,40,0,120,30,12,0.00022136569653752216,5,0. 3,1,20,0.75,0.010163506279808603,COMPLETE
146,0.0013429644983261823,40,0,120,30,12,0.0002561483202429873,5,0. 3,1,20,0.75,0.010291631339267162,COMPLETE
147,0.0020366782788187265,40,0,120,30,12,0.00021588237991369263,5,0. 3,1,20,0.75,0.010445580610453831,COMPLETE
148,0.0013795572565868496,40,0,120,30,12,0.00027227214733387324,1,0. 3,1,20,0.75,0.01000180555073296,COMPLETE
149,0.002267850283533335,40,0,120,30,12,0.0002679120843650051,1,1,1,20,0.75,0.010054687187075778,COMPLETE
150,0.0011546544963493943,40,0,120,30,8,0.00019060006737883339,1,0. 3,1,20,0.75,0.010515053647076916,COMPLETE
151,0.00236658020876348,40,0,120,30,8,0.00018727851594289085,1,0. 3,1,24,0.7,0.0100155205950471,COMPLETE
152,0.05040530115365982,40,0,120,30,8,0.00025016398762383566,1,0. 3,1,20,0.7999999999999999,0.01060662366707004,COMPLETE
153,0.0009844790474744514,40,0,120,30,8,0.0002116254835741259,1,0. 3,1,20,0.75,0.011097927573239666,COMPLETE
154,0.002129885321483016,40,0,120,30,8,0.0001562771201164779,1,0. 3,1,24,0.75,0.011014213450533333,COMPLETE
155,0.001531456154771149,40,0,120,30,8,0.00017972307050365905,1,0. 3,1,20,0.7,0.010598229746506364,COMPLETE
156,0.0018184820422902704,40,0.1,120,30,8,0.00020925191224622326,1,0. 3,1,20,0.75,0.010247755654234367,COMPLETE
157,0.0018726141192018987,40,0,120,30,8,0.0002780419354414556,1,0. 3,1,20,0.75,0.01116650972945137,COMPLETE
158,0.004472734406590462,40,0,120,30,6,0.00021775955642352432,1,0. 3,1,20,0.75,0.01075598163462494,COMPLETE
159,0.0012696497840806841,40,0,120,30,8,0.00023982324204660955,1,0. 3,1,20,0.75,0.012071002753064362,COMPLETE
160,0.001643453841097653,40,0,210,30,8,0.00027899616894519876,1,0. 3,1,20,0.75,0.011942992608613923,COMPLETE
161,0.001335261296480894,40,0,120,30,8,0.00023787042483673705,1,0. 3,1,20,0.75,0.011221751309081426,COMPLETE
162,0.0022637212881818415,40,0,120,30,8,0.00019899012017885983,1,0. 3,1,20,0.75,0.010332052221542308,COMPLETE
163,0.0009055905218701809,40,0,120,30,8,0.00024194441414358486,1,0. 3,1,20,0.75,0.011210316406243141,COMPLETE
164,0.003347940603271127,40,0,120,30,8,0.00022587401198465783,1,0. 3,1,20,0.75,0.0100338474701146,COMPLETE
165,0.0008420474936428945,40,0,120,30,8,0.00017051132949959534,1,0. 3,1,20,0.75,0.011182899687301821,COMPLETE
166,0.0016339511377736927,40,0,120,30,8,0.0001701988934652649,1,0. 3,1,20,0.75,0.010957065129282196,COMPLETE
167,0.0038069243542850017,40,0,120,30,8,0.000151890107785651,1,0. 3,1,20,0.75,0.011163852578634944,COMPLETE
168,0.001532937993761152,40,0,120,30,8,0.0001851249405873983,1,0. 3,1,20,0.7999999999999999,0.01167413973595221,COMPLETE
169,0.0016748468158766627,40,0,120,30,8,0.00025333525032025605,1,0. 3,1,20,0.75,0.012125935336235322,COMPLETE
170,0.001253982784692198,40,0.1,120,30,8,0.0002088175245559724,1,0. 3,1,20,0.75,0.010665273908587963,COMPLETE
171,0.0023605447728186845,40,0.1,120,30,8,0.00020880049637754723,1,0. 3,1,20,0.75,0.010599066667759173,COMPLETE
172,0.0016315711429342628,40,0.1,120,30,8,0.00023442686349322664,1,0. 3,1,20,0.75,0.011417780783286332,COMPLETE
173,0.0018578445771709085,40,0.1,120,30,8,0.00020027167679461581,1,0. 3,1,20,0.75,0.010555353505452343,COMPLETE
174,0.001854130602441728,40,0.1,120,30,8,0.0002495766817139053,1,0. 3,1,20,0.75,0.011083770432433976,COMPLETE
175,0.0009770433185622095,40,0.1,120,30,8,0.00017512998895158292,1,0. 3,1,20,0.75,0.010058951574130327,COMPLETE
176,0.05514804244041443,50,0.1,120,0,8,0.0001707567384924806,1,0. 3,1,20,0.75,0.011946165335902923,COMPLETE
177,0.003546234220266342,40,0.1,120,30,8,0.000180399940257366,1,0. 3,1,20,0.75,0.011337931108603079,COMPLETE
178,0.011515580303966998,20,0.1,120,30,8,0.0001499993301436183,1,0. 3,1,20,0.75,0.010664193422107823,COMPLETE
179,0.005686449445784092,40,0.1,120,30,8,0.00021940677394606946,1,0. 3,1,20,0.75,0.05708353428700378,COMPLETE
180,0.0010680260835215448,40,0.1,120,30,8,0.00023036743916123267,1,0. 3,1,20,0.75,0.04836144192296458,COMPLETE
181,0.004386964160948992,40,0.1,120,30,8,0.0001922400263813514,1,0. 3,1,20,0.75,0.051561059490287026,COMPLETE
182,0.0011230452277231962,40,0.1,120,30,8,0.00023304498565144887,1,0. 3,1,20,0.75,0.039739007773922794,COMPLETE
183,0.0038441467098891736,40,0.1,120,30,8,0.0002278838679050208,1,0. 3,1,20,0.75,0.04102293271787203,COMPLETE
184,0.0037306698970496653,40,0.1,120,30,8,0.00020338270781726714,1,0. 3,1,20,0.75,0.03386325410749599,COMPLETE
185,0.004645656514912844,40,0.1,120,30,8,0.00013193355882485627,1,0. 3,1,20,0.75,0.06030463913871669,COMPLETE
186,0.003170613432303071,40,0.1,120,30,8,0.000230071138622453,1,0. 3,1,16,0.75,0.03751887666579994,COMPLETE
187,0.002109253592789173,40,0.1,120,30,8,0.0001182259943420274,1,0. 3,1,20,0.75,0.011260087679988054,COMPLETE
188,0.003945561125874519,40,0.1,180,30,8,0.00016614218862341995,1,1,1,20,0.75,0.03511609055746694,COMPLETE
189,0.06937364637851715,40,0.1,120,30,8,0.00018614297382077075,1,0. 3,1,20,0.75,0.046245651890237605,COMPLETE
190,0.0019769577076658605,40,0.1,120,0,8,0.0002949168129055657,1,0. 3,1,20,0.75,0.01223125137565638,COMPLETE
191,0.0013711533276364208,40,0.1,120,30,8,0.00024481870950288423,1,0. 3,1,20,0.75,0.01041435926429443,COMPLETE
192,0.003780275397002697,40,0.1,120,30,8,0.00021142309950249213,1,0. 3,1,20,0.75,0.0465914834920465,COMPLETE
193,0.010852589178830386,40,0,120,30,8,0.0002659381174293186,9,0. 3,1,20,0.75,0.01079894209319947,COMPLETE
194,0.0011601950274780393,40,0,120,30,8,0.00024797384783103717,1,0. 3,1,20,0.75,0.011478802597627033,COMPLETE
195,0.002401727996766567,40,0,120,30,8,0.00021702806233016444,1,0. 3,1,20,0.75,0.011716415202246212,COMPLETE
196,0.0010004757437855004,40,0.1,120,30,8,0.00019864683337305074,1,0. 3,1,20,0.75,0.0549864021903143,COMPLETE
197,0.007028640806674957,40,0.1,120,30,8,0.00018585469726045627,1,0. 3,1,24,0.75,0.06286828090743846,COMPLETE
198,0.0035608426667749883,40,0.1,120,30,8,0.0003095326078453158,1,0. 3,1,20,0.75,0.06569092460070307,COMPLETE
199,0.004372203256934881,40,0.1,120,30,8,0.000244845613297011,1,0. 3,1,20,0.75,0.053566413295974995,COMPLETE
