number,value,params_batch_size,params_delta_min,params_fclayer1,params_fclayer2,params_first_conv_outchann,params_learning_rate,params_max_loss_reset,params_patience_plateau,params_patience_validation,params_second_conv_outchann,params_split_size,params_weight_decay,state
138,0.00012787704569442818,30,0,210,90,6,0.00018239813320356844,1,1,2,24,0.7999999999999999,0.01742606063601593,COMPLETE
139,0.001423016027547419,40,0,210,90,6,0.00018193194966597588,1,1,2,16,0.7999999999999999,0.01745697571169045,COMPLETE
140,0.0005391151101017992,30,0,180,90,6,0.0001933182933316083,1,1,2,24,0.7999999999999999,0.015160024157965237,COMPLETE
141,0.005860216046373049,30,0,210,90,6,1.1594257471208605e-05,1,1,2,24,0.7999999999999999,0.018540929706784483,COMPLETE
142,0.004503271418313185,30,0,210,90,6,0.00014256682641556646,1,1,2,24,0.7999999999999999,0.023299708553933315,COMPLETE
143,0.002985215311249097,30,0,210,60,6,0.000577627976190711,1,1,2,24,0.7999999999999999,0.014258806101251959,COMPLETE
144,0.00030950988875702026,30,0,210,90,10,0.00044595633761058213,1,1,2,24,0.7999999999999999,0.016704163211767823,COMPLETE
145,0.0013798723928630352,30,0,210,0,10,0.00016897524118044945,1,1,2,24,0.75,0.022092053541848452,COMPLETE
146,0.04617660691340764,30,0,210,90,6,0.00024164762447609315,9,1,2,24,0.7999999999999999,0.01939372434109528,COMPLETE
147,0.0006346542853862047,50,0,210,0,10,0.0001151244162778324,1,1,2,24,0.7999999999999999,0.013374231793870085,COMPLETE
148,0.0004759523260872811,40,0.1,210,60,10,0.0005070728170674163,1,1,3,24,0.7999999999999999,0.024412385020765228,COMPLETE
149,0.09089614748954773,30,0,210,90,8,0.00040066234375238407,5,1,2,16,0.75,0.012227073182361511,COMPLETE
150,0.007715726892153422,30,0,210,0,6,0.0006145331017867266,7,1,2,24,0.7999999999999999,0.020998838108514564,COMPLETE
151,0.0015089392351607482,30,0,210,90,8,0.0003588087571128807,1,1,2,24,0.7,0.01686707496819691,COMPLETE
152,0.001382837009926637,30,0,210,90,8,0.00031705822625811744,1,1,2,24,0.7999999999999999,0.01757628092507143,COMPLETE
153,0.00017467928507054845,30,0,210,90,10,0.00030329896092649215,1,1,2,24,0.7999999999999999,0.03456571131546826,COMPLETE
154,0.00018440031562931835,30,0,210,90,10,0.00028166718334434316,1,1,2,24,0.7999999999999999,0.039653809275082066,COMPLETE
155,0.008580926681558292,30,0,210,90,10,0.0002737637098062195,1,1,2,24,0.7999999999999999,0.040056125037708015,COMPLETE
