timestamp,sequence,battery,flags,IMU-ch1,IMU-ch2,IMU-ch3,IMU-ch4,IMU-ch5,IMU-ch6,IMU-ch7,IMU-ch8,IMU-ch9
72587184486,11467,5,0,0.0155555556,-0.0322222222,0.0000000000,-5.6875000000,29.8125000000,24.2500000000,-2.3000000000,-4.0300000000,-8.2100000000
72587210613,11468,5,0,0.0122222222,-0.0277777778,0.0100000000,-6.1250000000,31.2500000000,25.7500000000,-2.2000000000,-3.9600000000,-8.1800000000
72587244329,11469,5,0,0.0077777778,-0.0211111111,0.0100000000,-6.1250000000,31.2500000000,25.7500000000,-2.1500000000,-3.9600000000,-8.2200000000
72587274399,11470,5,0,0.0044444444,-0.0155555556,0.0166666667,-6.1250000000,31.2500000000,25.7500000000,-2.2100000000,-3.9400000000,-8.2000000000
72587333084,11471,5,0,0.0055555556,-0.0144444444,0.0044444444,-5.3125000000,29.0625000000,22.7500000000,-2.1600000000,-3.8500000000,-8.1800000000
72587343110,11472,5,0,0.0000000000,-0.0155555556,-0.0022222222,-5.3125000000,29.0625000000,22.7500000000,-2.1800000000,-4.0000000000,-8.3000000000
72587365439,11473,5,0,-0.0088888889,-0.0288888889,0.0044444444,-5.3125000000,29.0625000000,22.7500000000,-2.1900000000,-3.9800000000,-8.3200000000
72587399299,11474,5,0,-0.0066666667,-0.0311111111,0.0077777778,-6.5000000000,29.0625000000,25.0000000000,-2.1400000000,-3.9800000000,-8.1400000000
72587431893,11475,5,0,-0.0055555556,-0.0111111111,0.0055555556,-6.5000000000,29.0625000000,25.0000000000,-2.1400000000,-3.9500000000,-8.2200000000
72587491853,11476,5,0,-0.0022222222,-0.0011111111,-0.0033333333,-6.5000000000,29.0625000000,25.0000000000,-2.2000000000,-4.0900000000,-8.3200000000
72587504214,11477,5,0,0.0055555556,-0.0077777778,0.0244444444,-6.5000000000,29.0625000000,25.0000000000,-2.1300000000,-3.9300000000,-8.2900000000
72587526771,11478,5,0,0.0144444444,-0.0155555556,-0.0022222222,-6.1250000000,29.0625000000,24.6250000000,-2.0900000000,-3.9100000000,-8.1800000000
72587547403,11479,5,0,0.0033333333,0.0000000000,-0.0188888889,-6.1250000000,29.0625000000,24.6250000000,-2.0700000000,-3.8700000000,-8.2000000000
72587577914,11480,5,0,0.0000000000,-0.0022222222,-0.0300000000,-6.1250000000,29.0625000000,24.6250000000,-2.1600000000,-3.9100000000,-8.3000000000
72587626878,11481,5,0,0.0000000000,-0.0100000000,-0.0366666667,-6.1250000000,28.6875000000,25.0000000000,-2.1400000000,-3.8600000000,-8.1900000000
72587645491,11482,5,0,0.0033333333,-0.0111111111,-0.0500000000,-6.1250000000,28.6875000000,25.0000000000,-2.1700000000,-4.0700000000,-8.2200000000
72587708242,11483,5,0,-0.0044444444,-0.0077777778,-0.0111111111,-6.1250000000,28.6875000000,25.0000000000,-2.2500000000,-3.9600000000,-8.3100000000
72587718036,11484,5,0,-0.0022222222,-0.0144444444,-0.0111111111,-6.1250000000,30.1250000000,25.0000000000,-2.1600000000,-3.9500000000,-8.2300000000
72587739270,11485,5,0,0.0000000000,-0.0077777778,-0.0044444444,-6.1250000000,30.1250000000,25.0000000000,-2.1300000000,-3.9700000000,-8.2400000000
72587776777,11486,5,0,-0.0044444444,-0.0055555556,0.0033333333,-6.1250000000,30.1250000000,25.0000000000,-2.2200000000,-3.9800000000,-8.2300000000
72587808133,11487,5,0,-0.0100000000,0.0033333333,0.0000000000,-6.9375000000,29.0625000000,24.6250000000,-2.1500000000,-3.9300000000,-8.1700000000
72587839396,11488,5,0,-0.0033333333,0.0222222222,-0.0044444444,-6.9375000000,29.0625000000,24.6250000000,-2.1500000000,-3.9200000000,-8.1900000000
72587865513,11489,5,0,0.0066666667,0.0211111111,-0.0100000000,-6.9375000000,29.0625000000,24.6250000000,-2.2000000000,-3.9700000000,-8.2700000000
72587899179,11490,5,0,0.0000000000,0.0133333333,0.0000000000,-6.5000000000,29.4375000000,24.6250000000,-2.2000000000,-3.9700000000,-8.2600000000
72587921404,11491,5,0,-0.0033333333,0.0066666667,0.0000000000,-6.5000000000,29.4375000000,24.6250000000,-2.1700000000,-3.9500000000,-8.1700000000
72587951696,11492,5,0,0.0066666667,0.0144444444,0.0000000000,-6.5000000000,29.4375000000,24.6250000000,-2.1600000000,-3.9600000000,-8.2100000000
72587993170,11493,5,0,0.0188888889,0.0111111111,-0.0011111111,-6.5000000000,29.4375000000,24.6250000000,-2.2500000000,-4.0100000000,-8.2400000000
