"TRAM","Rang","GEOM_WKT"
"T06928L","20 - 30 µg/m³","MULTILINESTRING ((432351.384772207 4589210.31515513,432398.874958489 4589357.00802633))"
"T17200N","20 - 30 µg/m³","MULTILINESTRING ((434658.748289375 4584984.19600631,434671.67938008 4584993.51192265,434687.228517026 4585008.37782762))"
"T14863I","20 - 30 µg/m³","MULTILINESTRING ((431342.189233842 4581308.08750099,431358.269473297 4581336.3334225,431395.284568292 4581341.30314971,431401.833550809 4581337.66909452))"
"T04920V","20 - 30 µg/m³","MULTILINESTRING ((429359.06782177 4585868.32953777,429396.349550521 4585824.85818437,429405.043501536 4585816.60610497,429416.347446904 4585807.07400366))"
"T10196G","20 - 30 µg/m³","MULTILINESTRING ((432406.114050866 4582515.35929192,432301.621689992 4582620.644244))"
"T09663R","20 - 30 µg/m³","MULTILINESTRING ((433086.703382388 4585842.42124991,433125.299719061 4585879.03101633))"
"T05506P","20 - 30 µg/m³","MULTILINESTRING ((428378.776924158 4587007.11281661,428410.766668391 4587098.83771907))"
"T03213X","20 - 30 µg/m³","MULTILINESTRING ((428001.87466015 4580857.51117672,428005.521324963 4580944.35328277))"
"T11178I","20 - 30 µg/m³","MULTILINESTRING ((428106.85877938 4584142.62740323,428102.852790019 4584276.35863676))"
"T02194H","30 - 40 µg/m³","MULTILINESTRING ((429555.148521933 4582761.92028087,429680.660649975 4582884.84051324))"
"T12009W","20 - 30 µg/m³","MULTILINESTRING ((431804.443998964 4588824.56368979,431835.202650901 4588904.25758262))"
