timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8,EEG-imp-ch9,EEG-imp-ch10,EEG-imp-ch11,EEG-imp-ch12,EEG-imp-ch13,EEG-imp-ch14,EEG-imp-ch15,EEG-imp-ch16
73204834176,21859,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73204865486,21860,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73204894238,21861,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73204925350,21862,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73204960498,21863,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73204986660,21864,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73205016591,21865,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73205074267,21866,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73205101914,21867,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73205119124,21868,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73205186636,21869,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73205192799,21870,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73205216667,21871,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73205235511,21872,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73205269105,21873,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73205293815,21874,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73205330486,21875,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73205364131,21876,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73205394105,21877,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73205424151,21878,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73205460336,21879,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73205495444,21880,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73205555076,21881,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73205559085,21882,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73205578944,21883,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73205611545,21884,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73205645510,21885,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73205677103,21886,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73205723698,21887,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73205736657,21888,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73205766535,21889,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
